>>System Error :: Message => Non-static method FileSystem::scan() should not be called statically | ErrorNo => 2048 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Filesystem\Filesystem.php | ErrorLine  => 46 |  [ Time : 12:03 | Date : 07.02.2015 ] 
>>System Error :: Message => Undefined index: tables | ErrorNo => 8 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\orm\orm.php | ErrorLine  => 131 |  [ Time : 12:16 | Date : 07.02.2015 ] 
>>System Error :: Message => Invalid argument supplied for foreach() | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\orm\orm.php | ErrorLine  => 141 |  [ Time : 12:16 | Date : 07.02.2015 ] 
>>System Error :: Message => Undefined offset: 1 | ErrorNo => 8 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\orm\orm.php | ErrorLine  => 141 |  [ Time : 12:17 | Date : 07.02.2015 ] 
>>System Error :: Message => Undefined offset: 0 | ErrorNo => 8 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\orm\orm.php | ErrorLine  => 141 |  [ Time : 12:17 | Date : 07.02.2015 ] 
>>System Error :: Message => Undefined offset: 1 | ErrorNo => 8 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\orm\orm.php | ErrorLine  => 141 |  [ Time : 12:17 | Date : 07.02.2015 ] 
>>System Error :: Message => Undefined offset: 0 | ErrorNo => 8 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\orm\orm.php | ErrorLine  => 141 |  [ Time : 12:17 | Date : 07.02.2015 ] 
>>System Error :: Message => Undefined variable: value | ErrorNo => 8 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\orm\orm.php | ErrorLine  => 143 |  [ Time : 12:17 | Date : 07.02.2015 ] 
>>System Error :: Message => Undefined variable: _SESSION | ErrorNo => 8 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Session\Drivers\phpSession.php | ErrorLine  => 11 |  [ Time : 15:27 | Date : 07.02.2015 ] 
>>System Error :: Message => Invalid argument supplied for foreach() | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Session\Drivers\phpSession.php | ErrorLine  => 11 |  [ Time : 15:27 | Date : 07.02.2015 ] 
>>System Error :: Message => Undefined variable: _SESSION | ErrorNo => 8 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Session\Drivers\phpSession.php | ErrorLine  => 11 |  [ Time : 15:31 | Date : 07.02.2015 ] 
>>System Error :: Message => Invalid argument supplied for foreach() | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Session\Drivers\phpSession.php | ErrorLine  => 11 |  [ Time : 15:31 | Date : 07.02.2015 ] 
>>System Error :: Message => Undefined variable: _SESSION | ErrorNo => 8 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Session\Drivers\phpSession.php | ErrorLine  => 11 |  [ Time : 15:31 | Date : 07.02.2015 ] 
>>System Error :: Message => Invalid argument supplied for foreach() | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Session\Drivers\phpSession.php | ErrorLine  => 11 |  [ Time : 15:31 | Date : 07.02.2015 ] 
>>System Error :: Message => Undefined index: connector | ErrorNo => 8 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Adapter\Adapter.php | ErrorLine  => 119 |  [ Time : 20:35 | Date : 07.02.2015 ] 
>>System Error :: Message => Argument 1 passed to Database\Finder\tableFinder::__construct() must be an instance of Database\Finder\Connector, null given, called in C:\xampp\htdocs\framework\vendor\src\ozsa-src\Desing\Desing.php on line 19 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Database\Finder\tableFinder\tableFinder.php | ErrorLine  => 18 |  [ Time : 20:35 | Date : 07.02.2015 ] 
>>System Error :: Message => Undefined index: connector | ErrorNo => 8 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Adapter\Adapter.php | ErrorLine  => 119 |  [ Time : 20:36 | Date : 07.02.2015 ] 
>>System Error :: Message => Argument 1 passed to Database\Finder\tableFinder::__construct() must be an instance of Database\Finder\Connector, null given, called in C:\xampp\htdocs\framework\vendor\src\ozsa-src\Desing\Desing.php on line 19 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Database\Finder\tableFinder\tableFinder.php | ErrorLine  => 18 |  [ Time : 20:36 | Date : 07.02.2015 ] 
>>System Error :: Message => Undefined index: connector | ErrorNo => 8 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Adapter\Adapter.php | ErrorLine  => 119 |  [ Time : 20:36 | Date : 07.02.2015 ] 
