>>System Error :: Message => Undefined variable: dbConf | ErrorNo => 8 | ErrorFile => 45 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\multidb\db.php |  [ Time : 18:17 | Date : 03.02.2015 ] 
>>System Error :: Message => Undefined variable: dbConf | ErrorNo => 8 | ErrorFile => 46 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\multidb\db.php |  [ Time : 18:17 | Date : 03.02.2015 ] 
>>System Error :: Message => Non-static method Mail::send() should not be called statically | ErrorNo => 2048 | ErrorFile => 9 | ErrorLine  => C:\xampp\htdocs\framework\app\Views\index.php |  [ Time : 23:55 | Date : 03.02.2015 ] 
>>System Error :: Message => Non-static method Mail::send() should not be called statically | ErrorNo => 2048 | ErrorFile => 9 | ErrorLine  => C:\xampp\htdocs\framework\app\Views\index.php |  [ Time : 23:55 | Date : 03.02.2015 ] 
>>System Error :: Message => Non-static method Mail::send() should not be called statically | ErrorNo => 2048 | ErrorFile => 9 | ErrorLine  => C:\xampp\htdocs\framework\app\Views\index.php |  [ Time : 23:55 | Date : 03.02.2015 ] 
>>System Error :: Message => include(C:\xampp\htdocs\framework\vendor/src/ozsa-src/Mailer/Mail/Mail.php): failed to open stream: No such file or directory | ErrorNo => 2 | ErrorFile => 412 | ErrorLine  => C:\xampp\htdocs\framework\vendor\composer\ClassLoader.php |  [ Time : 23:55 | Date : 03.02.2015 ] 
>>System Error :: Message => include(): Failed opening 'C:\xampp\htdocs\framework\vendor/src/ozsa-src/Mailer/Mail/Mail.php' for inclusion (include_path='.;C:\xampp\php\PEAR') | ErrorNo => 2 | ErrorFile => 412 | ErrorLine  => C:\xampp\htdocs\framework\vendor\composer\ClassLoader.php |  [ Time : 23:55 | Date : 03.02.2015 ] 
>>System Error :: Message => include(C:\xampp\htdocs\framework\vendor/src/ozsa-src/Mailer/Mail/Mail.php): failed to open stream: No such file or directory | ErrorNo => 2 | ErrorFile => 412 | ErrorLine  => C:\xampp\htdocs\framework\vendor\composer\ClassLoader.php |  [ Time : 23:55 | Date : 03.02.2015 ] 
>>System Error :: Message => include(): Failed opening 'C:\xampp\htdocs\framework\vendor/src/ozsa-src/Mailer/Mail/Mail.php' for inclusion (include_path='.;C:\xampp\php\PEAR') | ErrorNo => 2 | ErrorFile => 412 | ErrorLine  => C:\xampp\htdocs\framework\vendor\composer\ClassLoader.php |  [ Time : 23:55 | Date : 03.02.2015 ] 
>>System Error :: Message => Undefined offset: 2 | ErrorNo => 8 | ErrorFile => 55 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Carbon\Carbon.php |  [ Time : 01:05 | Date : 04.02.2015 ] 
>>System Error :: Message => Undefined offset: 1 | ErrorNo => 8 | ErrorFile => 64 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Carbon\Carbon.php |  [ Time : 01:05 | Date : 04.02.2015 ] 
